t,t_next,dt,vs,u,iL,vC,iL_next,vC_next
0.0,5.0000000000000004e-08,5.0000000000000004e-08,10.0,1.0,0.0,0.0,0.0022361362352967262,0.0
5.0000000000000004e-08,1.0000000000000001e-07,5.0000000000000004e-08,10.0,1.0,0.0022361362352967262,0.0,0.0044722724705934525,1.51499705225433e-06
1.0000000000000001e-07,1.5000000000000002e-07,5.000000000000001e-08,10.0,1.0,0.0044722724705934525,1.51499705225433e-06,0.006708408705890179,4.544785952020902e-06
1.5000000000000002e-07,2.0000000000000002e-07,5e-08,10.0,1.0,0.006708408705890179,4.544785952020902e-06,0.00894454400986433,9.089160812436603e-06
2.0000000000000002e-07,2.5000000000000004e-07,5.0000000000000024e-08,10.0,1.0,0.00894454400986433,9.089160812436603e-06,0.011180678382515907,1.514791620138567e-05
2.5000000000000004e-07,3.0000000000000004e-07,5e-08,10.0,1.0,0.011180678382515907,1.514791620138567e-05,0.01341681182384491,2.2720847482560202e-05
3.0000000000000004e-07,3.5000000000000004e-07,5e-08,10.0,1.0,0.01341681182384491,2.2720847482560202e-05,0.015652943402528763,3.18077472911682e-05
3.5000000000000004e-07,4.0000000000000003e-07,5e-08,10.0,1.0,0.015652943402528763,3.18077472911682e-05,0.017889073118567467,4.2408410081407055e-05
4.0000000000000003e-07,4.5000000000000003e-07,5e-08,10.0,1.0,0.017889073118567467,4.2408410081407055e-05,0.020125199109315872,5.452262848848477e-05
4.5000000000000003e-07,5.000000000000001e-07,5.000000000000005e-08,10.0,1.0,0.020125199109315872,5.452262848848477e-05,0.02236132323741913,6.815019878558815e-05
5.000000000000001e-07,5.5e-07,4.9999999999999945e-08,10.0,1.0,0.02236132323741913,6.815019878558815e-05,0.024597443640232086,8.329090633196756e-05
5.5e-07,6.000000000000001e-07,5.000000000000005e-08,10.0,1.0,0.024597443640232086,8.329090633196756e-05,0.026833562180399895,9.994454740080982e-05
6.000000000000001e-07,6.5e-07,4.9999999999999945e-08,10.0,1.0,0.026833562180399895,9.994454740080982e-05,0.029069676995277405,0.00011811092554125935
6.5e-07,7.000000000000001e-07,5.000000000000005e-08,10.0,1.0,0.029069676995277405,0.00011811092554125935,0.03130578622221947,0.0001377898151986301
7.000000000000001e-07,7.5e-07,4.9999999999999945e-08,10.0,1.0,0.03130578622221947,0.0001377898151986301,0.03354189172387123,0.00015898101264610887
7.5e-07,8.000000000000001e-07,5.000000000000005e-08,10.0,1.0,0.03354189172387123,0.00015898101264610887,0.0357779935002327,0.0001816843287087977
8.000000000000001e-07,8.500000000000001e-07,5.000000000000005e-08,10.0,1.0,0.0357779935002327,0.0001816843287087977,0.038014087826013565,0.00020589953055605292
8.500000000000001e-07,9.000000000000001e-07,4.9999999999999945e-08,10.0,1.0,0.038014087826013565,0.00020589953055605292,0.040250178426504135,0.0002316264290129766
9.000000000000001e-07,9.500000000000001e-07,5.000000000000005e-08,10.0,1.0,0.040250178426504135,0.0002316264290129766,0.04248626157641411,0.00025886480580084026
9.500000000000001e-07,1.0000000000000002e-06,5.000000000000005e-08,10.0,1.0,0.04248626157641411,0.00025886480580084026,0.04472234100103378,0.0002876144426409155
1.0000000000000002e-06,1.0500000000000001e-06,4.9999999999999945e-08,10.0,1.0,0.04472234100103378,0.0002876144426409155,0.04695841297507286,0.0003178751503583044
1.0500000000000001e-06,1.1e-06,4.9999999999999945e-08,10.0,1.0,0.04695841297507286,0.0003178751503583044,0.04919447749853134,0.00034964672522619367
