t,iL,vC,Vsw,Vin
0.0,9.99996e-06,4.99998e-05,5.00098e-05,10.0
2.9651897147112515e-10,9.99996e-06,4.99998e-05,5.0004324e-05,10.0
3.8910227530356353e-10,1.0526315e-05,4.99998e-05,2.5118608,10.0
4.808139880382416e-10,1.2577048e-05,4.9999802e-05,7.5994034,10.0
5.655122610123752e-10,1.5883388e-05,4.9999806e-05,10.0,10.0
1e-09,3.5314766e-05,4.9999897e-05,10.0,10.0
1.3179633181308544e-06,0.05893182,0.00057534163,9.999941,10.0
2.6349266362617086e-06,0.117821455,0.0021478906,9.999882,10.0
3.784926636261698e-06,0.16923468,0.0043744976,9.999831,10.0
4.934926636261687e-06,0.22063386,0.007393979,9.99978,10.0
4.939926636261687e-06,0.2208573,0.007408834,9.999779,10.0
5.000999999999999e-06,0.2235865,0.0075914892,9.999777,10.0
5.001599999999529e-06,0.22361332,0.007593295,9.999777,10.0
5.001999999999999e-06,0.22361183,0.007594499,-0.7953001,10.0
7.347699218750151e-06,0.21515808,0.014497329,-0.7940159,10.0
9.693398437500304e-06,0.20664433,0.02108761,-0.7930035,10.0
9.698398437500305e-06,0.20662612,0.021101324,-0.79300123,10.0
9.999218749995748e-06,0.20553012,0.021923793,-0.79286367,10.0
9.999999999999999e-06,0.20553258,0.021925922,1.5739474,10.0
1.0001e-05,0.20555584,0.021928648,6.4022417,10.0
1.0003e-05,0.20563705,0.021934101,9.999794,10.0
1.2390000000000383e-05,0.3121097,0.030140795,9.999688,10.0
1.4777000000000765e-05,0.41847444,0.04172557,9.999581,10.0
1.4782000000000766e-05,0.41869712,0.04175336,9.999581,10.0
1.5001e-05,0.42844906,0.042985156,9.999572,10.0
1.5001599999999626e-05,0.42847577,0.042988572,9.999572,10.0
1.5002599999999627e-05,0.4284719,0.04299426,-0.7287587,10.0
1.5002615624999627e-05,0.42847183,0.04299435,-0.8119229,10.0
1.73491e-05,0.41942987,0.056158837,-0.8113067,10.0
1.9695584375000376e-05,0.4102577,0.06895123,-0.810742,10.0
1.9700584375000377e-05,0.410238,0.068978086,-0.81074077,10.0
1.9998999999999993e-05,0.4090624,0.070578106,-0.8106665,10.0
1.9999999999999998e-05,0.40906447,0.070583455,1.8918979,10.0
2.0000999999999997e-05,0.40908676,0.070588805,6.396172,10.0
2.0002999999999995e-05,0.40916753,0.07059951,9.999591,10.0
2.2397500000000376e-05,0.5154155,0.08509601,9.999485,10.0
2.4792000000000755e-05,0.62148803,0.102932125,9.999378,10.0
2.4797000000000755e-05,0.62170935,0.10297285,9.999378,10.0
2.5000999999999997e-05,0.63073695,0.104646474,9.99937,10.0
2.5001599999999622e-05,0.6307635,0.104651436,9.99937,10.0
2.500259999999962e-05,0.6307593,0.1046597,-0.73868597,10.0
2.500261562499962e-05,0.63075924,0.104659826,-0.8219256,10.0
2.971558437500037e-05,0.6108215,0.1427268,-0.821037,10.0
2.9998999999999992e-05,0.60959774,0.14495972,-0.8209851,10.0
2.9999999999999997e-05,0.6095995,0.14496759,1.8841089,10.0
3.0000999999999996e-05,0.60962135,0.14497545,6.3925986,10.0
3.0002999999999994e-05,0.60970145,0.14499119,9.999391,10.0
3.240499999999892e-05,0.7154462,0.16554795,9.999285,10.0
3.480699999999785e-05,0.8209501,0.18939804,9.999179,10.0
3.481199999999785e-05,0.82116944,0.1894511,9.999179,10.0
3.5001e-05,0.82945967,0.19146715,9.99917,10.0
3.5001599999999635e-05,0.82948595,0.19147359,9.99917,10.0
3.500259999999964e-05,0.82948136,0.1914843,-0.74571735,10.0
3.5002615624999635e-05,0.8294813,0.19148447,-0.8290099,10.0
3.973058437499719e-05,0.8073657,0.24114814,-0.8282527,10.0
3.999900000000001e-05,0.8060794,0.24390584,-0.8282114,10.0
3.9999999999999996e-05,0.80608064,0.2439161,1.87864,10.0
4.0001e-05,0.8061021,0.24392636,6.390059,10.0
4.0003e-05,0.8061813,0.24394688,9.999194,10.0
4.241249999999876e-05,0.9111543,0.27030516,9.999089,10.0
4.482199999999752e-05,1.0158236,0.2999031,9.998984,10.0
4.4826999999997516e-05,1.0160404,0.29996786,9.998984,10.0
4.5001e-05,1.0235863,0.30223033,9.998977,10.0
4.5001599999999634e-05,1.0236123,0.30223814,9.998976,10.0
4.5002599999999636e-05,1.0236071,0.3022512,-0.7511164,10.0
4.5002615624999634e-05,1.0236071,0.3022514,-0.8344493,10.0
4.974558437499718e-05,0.99883384,0.36296943,-0.8337571,10.0
4.999900000000001e-05,0.9974746,0.36614656,-0.8337219,10.0
4.9999999999999996e-05,0.9974753,0.36615908,1.8744593,10.0
5.0001e-05,0.9974962,0.3661716,6.3880944,10.0
5.0003e-05,0.9975743,0.36619663,9.999002,10.0
5.2419999999998756e-05,1.1015186,0.39806968,9.9988985,10.0
5.483699999999751e-05,1.205099,0.43312186,9.998795,10.0
5.484199999999751e-05,1.2053128,0.43319765,9.998795,10.0
5.5001e-05,1.2121131,0.43561462,9.998788,10.0
5.500159999999777e-05,1.2121388,0.43562376,9.998788,10.0
5.500159999999963e-05,1.2121388,0.43562376,9.998788,10.0
5.5002599999999635e-05,1.212133,0.435639,-0.7554569,10.0
5.5002615624999634e-05,1.2121329,0.43563923,-0.838822,10.0
5.9760584374997174e-05,1.1842338,0.5068165,-0.838161,10.0
5.9999000000000006e-05,1.1827966,0.5103113,-0.8381296,10.0
5.9999999999999995e-05,1.1827966,0.51032597,1.8711072,10.0
6.0001e-05,1.1828169,0.51034063,6.386502,10.0
6.0003e-05,1.1828936,0.5103699,9.998817,10.0
6.242749999999875e-05,1.285565,0.5474448,9.998714,10.0
6.48519999999975e-05,1.3878152,0.5876321,9.998612,10.0
6.48569999999975e-05,1.3880256,0.5877182,9.998612,10.0
6.5001e-05,1.3940846,0.59020257,9.998606,10.0
6.500159999999778e-05,1.3941098,0.59021294,9.998606,10.0
6.500159999999963e-05,1.3941098,0.59021294,9.998606,10.0
6.500259999999963e-05,1.3941034,0.5902302,-0.7590484,10.0
6.500261562499964e-05,1.3941033,0.5902305,-0.84243995,10.0
6.977558437499717e-05,1.3626297,0.67122304,-0.8417904,10.0
6.9999e-05,1.3611146,0.6749383,-0.84176165,10.0
7e-05,1.3611139,0.67495495,1.8683386,10.0
7.0001e-05,1.3611333,0.6749716,6.3851724,10.0
7.0003e-05,1.3612087,0.6750048,9.998639,10.0
7.487199999999749e-05,1.563276,0.7620201,9.998437,10.0
7.5001e-05,1.5686032,0.76449054,9.998431,10.0
7.500159999999777e-05,1.568628,0.76450205,9.998431,10.0
7.500159999999963e-05,1.568628,0.76450205,9.998431,10.0
7.500259999999963e-05,1.5686207,0.7645212,-0.76207715,10.0
7.500261562499964e-05,1.5686206,0.7645215,-0.8454908,10.0
7.979058437499716e-05,1.5331485,0.8546411,-0.8448401,10.0
7.9999e-05,1.5315613,0.85848475,-0.8448133,10.0
7.999999999999999e-05,1.5315597,0.85850316,1.8660072,10.0
8.0001e-05,1.5315783,0.8585216,6.3840413,10.0
8.0003e-05,1.531652,0.8585585,9.998468,10.0
8.488699999999748e-05,1.730227,0.95451814,9.99827,10.0
8.5001e-05,1.7348363,0.95689917,9.998265,10.0
8.500159999999777e-05,1.7348605,0.9569117,9.998265,10.0
8.500159999999963e-05,1.7348605,0.9569117,9.998265,10.0
8.500259999999963e-05,1.7348524,0.9569326,-0.76466376,10.0
8.500261562499964e-05,1.7348523,0.95693296,-0.84809625,10.0
8.980558437499715e-05,1.6949857,1.0554518,-0.84743565,10.0
8.9999e-05,1.6933366,1.0593376,-0.8474105,10.0
8.999999999999999e-05,1.6933341,1.0593576,1.8640188,10.0
9.0001e-05,1.6933519,1.0593778,6.3830676,10.0
9.0003e-05,1.6934237,1.059418,9.998306,10.0
9.490199999999747e-05,1.8881106,1.1635617,9.998112,10.0
9.5001e-05,1.8920208,1.1657846,9.998108,10.0
9.500159999999777e-05,1.8920445,1.1657981,9.998108,10.0
9.500159999999963e-05,1.8920445,1.1657981,9.998108,10.0
9.500259999999963e-05,1.8920355,1.1658206,-0.7668911,10.0
9.500261562499964e-05,1.8920352,1.165821,-0.85033965,10.0
9.982058437499714e-05,1.8474087,1.2719768,-0.8496629,10.0
9.9999e-05,1.8457128,1.2758251,-0.8496392,10.0
9.999999999999999e-05,1.8457093,1.2758466,1.8623093,10.0
0.000100001,1.8457261,1.2758682,6.3822236,10.0
0.000100003,1.8457961,1.2759113,9.998155,10.0
0.00010491699999999746,2.0362327,1.3874464,9.997964,10.0
0.00010500099999999999,2.0394664,1.3894498,9.99796,10.0
0.00010500159999999777,2.0394895,1.3894643,9.99796,10.0
0.00010500159999999963,2.0394895,1.3894643,9.99796,10.0
0.00010500259999999963,2.0394793,1.3894881,-0.7688184,10.0
0.00010500261562499964,2.0394793,1.3894885,-0.85228074,10.0
0.00010983558437499713,1.9897596,1.5024899,-0.8515829,10.0
0.000109999,1.9880363,1.5062277,-0.8515605,10.0
0.00010999999999999999,1.9880319,1.5062505,1.8608326,10.0
0.00011000099999999999,1.9880476,1.5062734,6.3814874,10.0
0.000110003,1.9881154,1.506319,9.998012,10.0
0.00011493199999999746,2.173975,1.624426,9.997826,10.0
0.00011500099999999999,2.176558,1.6261559,9.997824,10.0
0.00011500159999999777,2.1765804,1.626171,9.997824,10.0
0.00011500159999999963,2.1765804,1.626171,9.997824,10.0
0.00011500259999999963,2.1765695,1.626196,-0.7704893,10.0
0.00011500261562499964,2.1765692,1.6261964,-0.8539635,10.0
0.00011985058437499712,2.1214578,1.7452277,-0.85324055,10.0
0.000119999,2.1197305,1.7487897,-0.8532195,10.0
0.00011999999999999999,2.1197248,1.7488136,1.8595555,10.0
0.00012000099999999999,2.1197395,1.7488377,6.380847,10.0
0.000120003,2.1198053,1.7488856,9.99788,10.0
0.00012494699999999746,2.3007975,1.872723,9.997699,10.0
0.000125001,2.302759,1.8741331,9.997697,10.0
0.00012500159999997168,2.3027806,1.8741487,9.997697,10.0
0.0001250015999999903,2.3027806,1.8741487,9.997697,10.0
0.00012500159999999776,2.3027806,1.8741487,9.997697,10.0
0.00012500159999999963,2.3027806,1.8741487,9.997697,10.0
0.00012500259999999962,2.3027685,1.874175,-0.7719369,10.0
0.0001250026156249996,2.3027682,1.8741753,-0.85542136,10.0
0.0001298655843749971,2.2420018,1.9984022,-0.85467,10.0
0.00012999899999999995,2.240297,2.0017307,-0.8546503,10.0
0.00013,2.2402904,2.0017555,1.8584523,10.0
0.00013000099999999998,2.240304,2.0017805,6.38029,10.0
0.00013000299999999995,2.2403672,2.0018303,9.99776,10.0
0.00013496199999999734,2.4162388,2.1305408,9.997583,10.0
0.000135001,2.4176104,2.1315928,9.997582,10.0
0.00013500159999999776,2.4176314,2.131609,9.997582,10.0
0.00013500159999999963,2.4176314,2.131609,9.997582,10.0
0.00013500259999999961,2.417618,2.131636,-0.77318704,10.0
0.0001350026156249996,2.4176178,2.1316364,-0.8566803,10.0
0.0001398805843749971,2.3509696,2.2602112,-0.85589755,10.0
0.00013999899999999994,2.349317,2.2632563,-0.85587937,10.0
0.00014,2.3493092,2.2632818,1.8575033,10.0
0.00014000099999999998,2.3493216,2.2633076,6.3798075,10.0
0.00014000299999999995,2.3493826,2.263359,9.99765,10.0
0.00014497699999999733,2.5199184,2.3960743,9.99748,10.0
0.00014500099999999996,2.520734,2.396738,9.997479,10.0
0.00014500159999998656,2.5207543,2.3967545,9.997479,10.0
0.00014500159999999773,2.5207543,2.3967545,9.997479,10.0
0.0001450015999999996,2.5207543,2.3967545,9.997479,10.0
0.00014500259999999959,2.5207398,2.3967822,-0.7742599,10.0
0.00014500261562499958,2.5207396,2.3967826,-0.8577607,10.0
0.00014989558437499706,2.4480195,2.5288494,-0.8569438,10.0
0.00014999899999999994,2.446452,2.5315697,-0.8569272,10.0
0.00015,2.4464428,2.531596,1.8566931,10.0
0.00015000099999999998,2.446454,2.5316222,6.3793936,10.0
0.00015000299999999995,2.4465127,2.5316749,9.997554,10.0
0.00015499199999999733,2.611536,2.6675212,9.997389,10.0
0.000155001,2.611831,2.6677747,9.997388,10.0
0.00015500159999999775,2.6118507,2.6677916,9.997388,10.0
0.00015500159999999962,2.6118507,2.6677916,9.997388,10.0
0.0001550025999999996,2.6118348,2.6678197,-0.7751719,10.0
0.0001550026156249996,2.6118345,2.6678202,-0.858679,10.0
0.00015991058437499707,2.532891,2.8025203,-0.85782534,10.0
0.00015999899999999994,2.5314422,2.8048823,-0.85781056,10.0
0.00015999999999999999,2.5314317,2.804909,1.8560094,10.0
0.00016000099999999997,2.5314417,2.8049357,6.3790426,10.0
0.00016000299999999995,2.531498,2.8049889,9.997469,10.0
0.00016499899999999993,2.690619,2.942865,9.99731,10.0
0.00016500099999999996,2.6906822,2.9429219,9.99731,10.0
0.00016500159999999773,2.690701,2.942939,9.99731,10.0
0.0001650015999999996,2.690701,2.942939,9.99731,10.0
0.00016500259999999958,2.690684,2.9429674,-0.7759359,10.0
0.00016500261562499958,2.6906838,2.942968,-0.8594483,10.0
0.00016992558437499704,2.6054025,3.0794454,-0.85855544,10.0
0.00016999899999999994,2.6041083,3.0814235,-0.85854256,10.0
0.00016999999999999999,2.604097,3.0814505,1.855442,10.0
0.00017000099999999997,2.6041055,3.0814774,6.3787494,10.0
0.00017000299999999995,2.604159,3.0815313,9.9973955,10.0
0.000175001,2.7571473,3.2204227,9.997243,10.0
0.00017500112499999998,2.7571511,3.2204263,9.997243,10.0
0.00017500159999998658,2.7571654,3.22044,9.997243,10.0
0.00017500159999999775,2.7571654,3.22044,9.997243,10.0
0.00017500159999999962,2.7571654,3.22044,9.997243,10.0
0.0001750025999999996,2.757147,3.2204685,-0.7765627,10.0
0.0001750026156249996,2.7571468,3.220469,-0.86007947,10.0
0.00017994058437499706,2.6654513,3.3578746,-0.8591448,10.0
0.00017999899999999994,2.6643488,3.3594522,-0.8591341,10.0
0.00017999999999999998,2.664336,3.3594792,1.8549834,10.0
0.00018000099999999997,2.6643434,3.3595064,6.3785124,10.0
0.00018000299999999995,2.6643946,3.3595603,9.997335,10.0
0.00018500099999999996,2.8111637,3.4985535,9.997189,10.0
0.00018500156249999993,2.81118,3.4985697,9.997189,10.0
0.00018500159999999027,2.811181,3.4985707,9.997189,10.0
0.00018500159999999772,2.811181,3.4985707,9.997189,10.0
0.0001850015999999996,2.811181,3.4985707,9.997189,10.0
